State,FIPS,Name,ObamaMargin,TotalVotes,Obama,Romney
WY,56045,Weston,-2399,3323,422,2821
WY,56043,Washakie,-2219,3911,794,3013
WY,56041,Uinta,-4985,8453,1628,6613
WY,56039,Teton,1353,11356,6211,4858
WY,56037,Sweetwater,-6654,16750,4773,11427
WY,56035,Sublette,-2705,4337,767,3472
WY,56033,Sheridan,-6649,14225,3618,10267
WY,56031,Platte,-1913,4500,1223,3136
WY,56029,Park,-8307,14492,2927,11234
WY,56027,Niobrara,-822,1268,200,1022
WY,56025,Natrona,-13169,32057,8960,22129
WY,56023,Lincoln,-5857,8573,1287,7144
WY,56021,Laramie,-9440,38057,13807,23247
WY,56019,Johnson,-2613,4217,749,3362
WY,56017,Hot Springs,-1371,2495,523,1894
WY,56015,Goshen,-2720,5758,1458,4178
WY,56013,Fremont,-5739,16817,5333,11072
WY,56011,Crook,-2683,3657,426,3109
WY,56009,Converse,-3954,6287,1089,5043
WY,56007,Carbon,-2043,6461,2109,4152
WY,56005,Campbell,-12789,17477,2163,14952
WY,56003,Big Horn,-3401,5262,868,4269
WY,56001,Albany,-406,16052,7445,7851
WI,55141,Wood,-1139,38762,18546,19685
WI,55139,Winnebago,3337,88814,45410,42073
WI,55137,Waushara,-1228,12017,5330,6558
WI,55135,Waupaca,-2424,25801,11565,13989
WI,55133,Waukesha,-83950,241084,77617,161567
WI,55131,Washington,-31573,78558,23136,54709
WI,55129,Washburn,-257,9242,4435,4692
WI,55127,Walworth,-6450,52115,22512,28962
WI,55125,Vilas,-1804,13782,5931,7735
WI,55123,Vernon,2096,14215,8031,5935
WI,55121,Trempealeau,1898,13456,7601,5703
WI,55119,Taylor,-1836,9486,3761,5597
WI,55117,Sheboygan,-5926,63272,28356,34282
WI,55115,Shawano,-2027,20222,8990,11017
WI,55113,Sawyer,46,9003,4482,4436
WI,55111,Sauk,5889,31832,18718,12829
WI,55109,St. Croix,-5601,46009,19874,25475
WI,55107,Rusk,-282,7171,3391,3673
WI,55105,Rock,18666,80462,49158,30492
WI,55103,Richland,1389,8636,4964,3575
WI,55101,Racine,3714,102937,52887,49173
WI,55099,Price,3,7870,3882,3879
WI,55097,Portage,5453,39186,22052,16599
WI,55095,Polk,-2021,22494,10054,12075
WI,55093,Pierce,-170,20920,10213,10383
WI,55091,Pepin,82,3696,1875,1793
WI,55089,Ozaukee,-16916,55565,19075,35991
WI,55087,Outagamie,-1729,94237,45565,47294
WI,55085,Oneida,-466,21577,10439,10905
WI,55083,Oconto,-1881,19727,8810,10691
WI,55081,Monroe,-132,19389,9505,9637
WI,55079,Milwaukee,169660,490944,328090,158430
WI,55078,Menominee,1012,1376,1191,179
WI,55077,Marquette,354,7944,4112,3758
WI,55075,Marinette,-741,20712,9868,10609
WI,55073,Marathon,-4238,69637,32330,36568
WI,55071,Manitowoc,-1199,42488,20382,21581
WI,55069,Lincoln,99,15152,7543,7444
WI,55067,Langlade,-1241,10482,4569,5810
WI,55065,Lafayette,1221,7928,4534,3313
WI,55063,La Crosse,10921,63212,36632,25711
WI,55061,Kewaunee,-595,11018,5151,5746
WI,55059,Kenosha,9896,80661,44838,34942
WI,55057,Juneau,837,11781,6237,5400
WI,55055,Jefferson,-3353,44136,20136,23489
WI,55053,Jackson,1397,9290,5297,3900
WI,55051,Iron,-5,3620,1783,1788
WI,55049,Iowa,3797,12515,8099,4302
WI,55047,Green Lake,-1989,9657,3790,5779
WI,55045,Green,3348,19302,11196,7848
WI,55043,Grant,3319,24160,13574,10255
WI,55041,Forest,249,4643,2421,2172
WI,55039,Fond du Lac,-7973,53272,22356,30329
WI,55037,Florence,-691,2615,952,1643
WI,55035,Eau Claire,7400,54595,30618,23218
WI,55033,Dunn,1093,21899,11303,10210
WI,55031,Douglas,7157,22862,14855,7698
WI,55029,Door,1229,17607,9338,8109
WI,55027,Dodge,-6445,44379,18745,25190
WI,55025,Dane,131930,302845,215389,83459
WI,55023,Crawford,1558,7791,4622,3064
WI,55021,Columbia,4144,30460,17158,13014
WI,55019,Clark,-1221,13740,6173,7394
WI,55017,Chippewa,-160,30914,15211,15371
WI,55015,Calumet,-3042,26336,11477,14519
WI,55013,Burnett,-560,8634,3981,4541
WI,55011,Buffalo,217,7008,3569,3352
WI,55009,Brown,-2305,128514,62433,64738
WI,55007,Bayfield,2428,9759,6025,3597
WI,55005,Barron,-530,22583,10883,11413
