Vote by County,Trump,Clinton,Rpt.,State
Los Angeles,620285,1893770,100%,CA
Maricopa,590465,549040,100%,AZ
Harris,544960,706471,100%,TX
Orange,472669,556544,100%,CA
Cook,440213,1528582,97%,IL
San Diego,386807,567243,100%,CA
Tarrant,345683,288001,100%,TX
Miami-Dade,333666,623006,100%,FL
Suffolk,328403,276953,100%,NY
Clark,319571,401068,100%,NV
Oakland,289127,342976,100%,MI
Riverside,279072,300686,100%,CA
Nassau,275479,307326,100%,NY
Palm Beach,270762,371411,100%,FL
Hillsborough,265928,306422,100%,FL
Dallas,261865,458845,100%,TX
Broward,258521,546956,100%,FL
Allegheny,257488,363017,100%,PA
San Bernardino,249103,304407,100%,CA
Bexar,240161,319191,100%,TX
Pinellas,238746,233327,100%,FL
Wayne,228908,517842,100%,MI
Macomb,224589,176238,100%,MI
Duval,210061,203627,100%,FL
Collin,200395,139837,100%,TX
St. Louis,199081,280866,100%,MO
King,197781,657149,91%,WA
Orange,195091,329579,100%,FL
Wake,193607,298353,100%,NC
Franklin,192328,335961,100%,OH
Hennepin,191768,429283,100%,MN
Lee,191141,124725,100%,FL
Brevard,181620,119525,100%,FL
Cuyahoga,179894,383974,100%,OH
El Paso,176506,105807,100%,CO
Erie,173817,192065,98%,NY
Ocean,170103,81845,100%,NJ
Hamilton,169972,207587,100%,OH
Denton,169175,110000,98%,TX
Monmouth,165305,135825,100%,NJ
DuPage,164355,222499,100%,IL
Bucks,163873,165861,100%,PA
Bergen,163220,209251,100%,NJ
Sacramento,163024,273768,100%,CA
New Castle,162905,85507,100%,DE
Montgomery,160803,251063,100%,PA
Fairfax,157837,354485,100%,VA
Polk,157216,117182,100%,FL
Mecklenburg,154303,292258,100%,NC
Cobb,152602,159416,100%,GA
Montgomery,150188,45744,100%,TX
Kent,147959,138567,100%,MI
Pima,147019,195649,100%,AZ
Gwinnett,146463,165063,100%,GA
Waukesha,145519,79199,100%,WI
Tulsa,143985,87663,100%,OK
Jefferson,143758,190824,100%,KY
Volusia,142763,108793,100%,FL
Pasco,141943,89998,100%,FL
Oklahoma,141429,112661,100%,OK
Queens,138550,473389,99%,NY
Santa Clara,137452,483472,100%,CA
Lancaster,137145,90066,100%,PA
Pierce,136046,160306,93%,WA
Johnson,133907,126324,100%,KS
Kings,133653,595086,100%,NY
Baltimore,131009,189437,100%,MD
Jefferson,130614,151581,100%,AL
Jefferson,130233,151885,100%,CO
Marion,130228,212676,100%,IN
Will,129726,146230,100%,IL
Monroe,128871,174063,100%,NY
York,126933,67428,100%,PA
Travis,126750,306475,100%,TX
Milwaukee,126091,288986,100%,WI
Greenville,125595,73338,100%,SC
Morris,125376,114437,100%,NJ
Sarasota,124098,97676,100%,FL
Westchester,121643,245670,99%,NY
St. Charles,120899,68225,100%,MO
Montgomery,120766,117661,100%,OH
Kern,119164,86481,100%,CA
Ventura,118764,170489,100%,CA
Salt Lake,117901,154831,92%,UT
Fort Bend,117212,134475,100%,TX
Snohomish,116433,167943,90%,WA
Westmoreland,116427,59506,100%,PA
Chester,115582,140188,100%,PA
Shelby,114948,206640,100%,TN
Jackson,114777,163723,100%,MO
Anne Arundel,114509,116074,100%,MD
Fresno,113949,123660,100%,CA
Fulton,110372,281875,100%,GA
Arapahoe,109638,148365,100%,CO
Summit,109531,129922,100%,OH
Seminole,109265,105611,100%,FL
Middlesex,108981,164887,100%,NJ
Lake,108608,168186,100%,IL
Marion,107710,61958,100%,FL
Delaware,106559,169169,99%,PA
Contra Costa,105819,286658,100%,CA
Knox,105724,62861,100%,TN
Philadelphia,105418,560542,99%,PA
Collier,105297,60941,100%,FL
Butler,104441,56700,100%,OH
Williamson,104029,84252,100%,TX
Spokane,103846,86590,91%,WA
Douglas,102151,105207,100%,NE
Lake,101888,62597,100%,FL
Manatee,101681,71066,100%,FL
Sedgwick,101319,66716,100%,KS
Jefferson,100292,73540,100%,LA
Douglas,100178,67045,100%,CO
Dakota,99624,110251,100%,MN
Guilford,97461,147949,100%,NC
Stark,96345,66581,100%,OH
Staten Island,95612,67561,100%,NY
Washoe,94529,97032,100%,NV
Bernalillo,93874,141960,100%,NM
Ada,93748,75676,100%,ID
Polk,93421,119671,100%,IA
Anoka,93341,75499,100%,MN
Berks,93094,75169,100%,PA
Alameda,91189,486351,100%,CA
Mobile,91087,68429,100%,AL
St. Tammany,90914,27716,100%,LA
Clark,90590,90697,97%,WA
Ottawa,90456,46276,100%,MI
Honolulu,90296,175634,100%,HI
Utah,89755,24579,100%,UT
Madison,89199,62435,100%,AL
St. Johns,88633,43037,100%,FL
Escambia,88370,57114,100%,FL
Hamilton,87299,57214,100%,IN
Chesterfield,84938,80993,100%,VA
East Baton Rouge,84620,102711,100%,LA
Virginia Beach,84389,76744,100%,VA
Davidson,84365,148473,100%,TN
Genesee,84174,102744,100%,MI
Horry,83819,36731,100%,SC
Allen,83801,55222,100%,IN
Montgomery,82985,309761,100%,MD
Larimer,82624,92170,100%,CO
Kane,82087,99389,100%,IL
Cherokee,80611,25203,100%,GA
Lexington,79866,35143,100%,SC
Burlington,79539,108361,99%,NJ
Clackamas,79062,90187,100%,OR
Placer,78977,61969,100%,CA
Hamilton,78661,55260,100%,TN
Onondaga,78277,102915,100%,NY
Luzerne,77508,51454,100%,PA
Greene,77387,42400,100%,MO
Spartanburg,76101,39888,100%,SC
Warren,75947,33036,100%,OH
Washington,75903,137818,100%,OR
Weld,75882,45869,100%,CO
Lake,75565,116896,100%,IN
Charleston,75233,89048,100%,SC
Clay,74898,27768,100%,FL
Forsyth,74793,92488,100%,NC
Harford,74261,43803,100%,MD
Lucas,74102,107363,100%,OH
Adams,73807,86471,100%,CO
Galveston,73566,45503,100%,TX
Stanislaus,72960,73939,100%,CA
Shelby,72846,22927,100%,AL
Baldwin,72780,18409,100%,AL
Brazoria,72653,43075,100%,TX
Orange,72129,63037,100%,NY
Okaloosa,71788,23711,100%,FL
Passaic,71488,112608,99%,NJ
Northampton,71384,65936,100%,PA
Dane,71270,217506,100%,WI
McHenry,71117,59827,100%,IL
Camden,71020,142375,99%,NJ
Ramsey,70778,176929,100%,MN
Madison,70295,50336,100%,IL
Lehigh,70285,77087,100%,PA
St. Lucie,70248,66812,100%,FL
Forsyth,69801,23427,100%,GA
Loudoun,69633,99909,100%,VA
Jefferson,68973,31546,100%,MO
Lafayette,68191,32726,100%,LA
Williamson,68160,30992,100%,TN
Union,67582,145412,100%,NJ
Brown,67192,53358,100%,WI
Gloucester,66949,66355,100%,NJ
Union,66265,34051,100%,NC
York,66245,41230,100%,SC
Lane,66218,100497,100%,OR
Clermont,65960,26096,100%,OH
Livingston,65665,34378,100%,MI
Cumberland,65649,44282,100%,PA
Lubbock,65566,27956,100%,TX
Lorain,65346,64958,100%,OH
Santa Rosa,65126,18398,100%,FL
Somerset,64640,83839,100%,NJ
Washington,64429,67086,100%,MN
Rutherford,64428,36627,100%,TN
Multnomah,63055,271754,89%,OR
Lake,62627,45056,100%,OH
Cleveland,62469,38790,100%,OK
Essex,62059,231031,98%,NJ
Bay,62010,21689,100%,FL
Gaston,61467,30982,100%,NC
Butler,61388,26834,100%,PA
Pulaski,61182,89377,100%,AR
Benton,60751,27894,100%,AR
Dauphin,60620,64287,100%,PA
Lancaster,60456,60533,100%,NE
Charlotte,60196,33421,100%,FL
Henrico,59674,93615,100%,VA
Hernando,59029,31818,100%,FL
Washington,58941,34436,100%,PA
New York,58935,515481,98%,NY
Yavapai,58862,29705,100%,AZ
Smith,58631,22128,100%,TX
Dutchess,58163,56874,100%,NY
Clay,57328,45182,100%,MO
Erie,57168,54820,100%,PA
Rockland,57148,63454,100%,NY
Fayette,56890,69776,100%,KY
Frederick,56472,51891,100%,MD
San Joaquin,56194,71349,100%,CA
Anderson,56109,21040,100%,SC
Delaware,55660,39584,100%,OH
Carroll,55593,24314,100%,MD
Buncombe,55339,74937,100%,NC
New Hanover,54665,50219,100%,NC
Mohave,54656,16485,100%,AZ
El Paso,54567,145509,100%,TX
Citrus,54377,22765,100%,FL
Marion,54336,48803,100%,OR
Calcasieu,54182,26293,100%,LA
Iredell,54164,24441,100%,NC
Johnston,54082,28153,100%,NC
Prince William,54065,83093,99%,VA
Chesapeake,53988,52554,100%,VA
Winnebago,53922,52595,100%,IL
Pinal,53857,35737,100%,AZ
Medina,53811,31582,100%,OH
Leon,53777,91936,100%,FL
Santa Barbara,53740,100120,100%,CA
St. Clair,53479,60180,100%,IL
Cabarrus,53224,35048,100%,NC
Martin,53182,30158,100%,FL
